Client nr,Client,Address,NIP
1,Curtis Smith,"37053 Schaefer Fall, Port Craigland, MI 94194",5528891738
2,Faith Lewis,"46856 Owens Point Suite 877, Mariamouth, NC 69283",5195827706
3,Tyler Davis,"PSC 1257, Box 3590, APO AE 87568",2890085920
4,Wesley Barrett,"51327 Browning Circle Apt. 300, Valdezville, PA 85842",7323863930
5,Wayne Jackson,"11658 Ramos Terrace, Lake Curtis, TN 20412",7848337892
6,Christina Ortega,"5418 Michael Locks, Dawsonville, DE 33050",2057686552
7,Eric Proctor,"410 Smith Stream, Glasstown, OK 80694",8178229146
8,Jacob Clayton,"0835 David Crescent Apt. 615, Singletonborough, VA 82271",8423595851
9,Katherine Beasley,"3003 Heidi Shore Suite 812, Lake Maria, HI 64289",2716148332
10,Luke Garcia,"9876 Poole Points Suite 282, Lake Cody, VA 56805",9428292447
11,Charles Johnson,"3037 Boyd Mall, East Victor, MA 92041",1141017633
12,Kenneth Flores,"591 Gardner Course, East Stevenfurt, AK 74590",1820862834
13,Mary Cook,"302 Zuniga Point, North Jacob, TX 47180",4436314771
14,Antonio Bryant,"234 Lynch Lodge Suite 736, North Rachel, WY 44878",5367353698
15,Briana Dunn,"47262 Ryan Valleys Apt. 720, Lamberttown, LA 72567",8073559527
16,Lance Lee,"65867 Aaron Junctions, Aaronton, ID 63929",4897733253
17,Samuel Blevins,"3661 Peter Corner, Bradleymouth, GU 29127",6510840172
18,Debra Andrade,"18001 Young Tunnel Apt. 255, Clarkbury, NE 13841",7820311486
19,John Ryan,"217 Megan Causeway, Adrianland, PR 05913",4356157600
20,Ryan Mcintyre,"4793 Smith Row, Morriston, WV 35824",1655899859
21,Caitlin Jackson,"916 Susan Turnpike Apt. 873, New Mindy, CO 70934",8166791003
22,Austin Cantu,"619 Keith Summit Suite 404, Jonesfurt, CT 56241",6848137267
23,Joshua Smith,"59024 Mary Village, South Nicholas, CT 79987",4072498006
24,Carlos Martinez,"558 Travis Flats Suite 517, South Erik, MD 98804",9027100291
25,Andrea Ayala,"185 Boyle Parks, New Jessicachester, MN 78031",2357564300
26,Tracey Cisneros,"917 Woods Villages, West Kellyborough, MA 68218",2277396464
27,Courtney Johnson,"9176 Fitzgerald Place Suite 264, Taylortown, MH 13678",1532576598
28,Katherine Garrett,"76431 Melissa Extensions Apt. 657, South Christinamouth, KS 51857",3287941641
29,Daniel Cole,"389 Woods Heights, East Jeffreymouth, CO 09569",3412160002
30,Denise Scott,"PSC 2392, Box 7010, APO AA 37804",1493604364
