Client nr,Client,Address,NIP
21,Caitlin Jackson,"916 Susan Turnpike Apt. 873, New Mindy, CO 70934",8166791003
22,Austin Cantu,"619 Keith Summit Suite 404, Jonesfurt, CT 56241",6848137267
23,Joshua Smith,"59024 Mary Village, South Nicholas, CT 79987",4072498006
24,Carlos Martinez,"558 Travis Flats Suite 517, South Erik, MD 98804",9027100291
25,Andrea Ayala,"185 Boyle Parks, New Jessicachester, MN 78031",2357564300
26,Tracey Cisneros,"917 Woods Villages, West Kellyborough, MA 68218",2277396464
27,Courtney Johnson,"9176 Fitzgerald Place Suite 264, Taylortown, MH 13678",1532576598
28,Katherine Garrett,"76431 Melissa Extensions Apt. 657, South Christinamouth, KS 51857",3287941641
29,Daniel Cole,"389 Woods Heights, East Jeffreymouth, CO 09569",3412160002
30,Denise Scott,"PSC 2392, Box 7010, APO AA 37804",1493604364
